date,action,ticker,price,note,analyst
2022-01-21,BUY,BTCUSD,38305.0,,Knox Ridley
2022-01-19,BUY,MNDY,214.14,,Knox Ridley
2022-01-14,SELL,PATH,36.25,,Knox Ridley
2022-01-14,BUY,SNOW,286.14,,Knox Ridley
2022-01-13,SELL,LRCX,709.7,,Knox Ridley
2022-01-10,BUY,S,40.91,,Knox Ridley
2022-01-07,BUY,AMD,132.25,,Knox Ridley
2022-01-07,BUY,NVDA,274.85,,Knox Ridley
2022-01-06,BUY,S,44.18,,Knox Ridley
2022-01-06,SELL,ETHUSD,3537.09,,Knox Ridley
2022-01-06,SELL,BTCUSD,43623.0,,Knox Ridley
2022-01-04,BUY,RBLX,94.5,,Knox Ridley
2022-01-03,BUY,DDOG,162.5,,Knox Ridley
2021-12-29,BUY,XPEV,44.69,,Knox Ridley
2021-12-27,SELL,BTCUSD,51754.0,,Knox Ridley
2021-12-22,SELL,CFLT,71.21,,Knox Ridley
2021-12-21,BUY,MU,89.6,,Knox Ridley
2021-12-16,BUY,MRVL,84.37,,Knox Ridley
2021-12-16,BUY,ASAN,66.12,,Knox Ridley
2021-12-14,SELL,MNDY,263.45,,Knox Ridley
2021-12-12,SELL,BTCUSD,50382.0,,Knox Ridley
2021-12-11,SELL,ETHUSD,4021.0,,Knox Ridley
2021-12-10,BUY,CFLT,64.23,,Knox Ridley
2021-12-10,SELL,UPST,169.32,,Knox Ridley
2021-12-09,BUY,U,140.5,,Knox Ridley
2021-12-09,SELL,BTCUSD,47621.0,,Knox Ridley
2021-12-09,SELL,STEM,19.68,,Knox Ridley
2021-12-09,BUY,MNDY,327.4,,Knox Ridley
2021-12-08,SELL,SE,263.24,,Knox Ridley
2021-12-08,BUY,ASAN,74.87,,Knox Ridley
2021-12-07,BUY,UPST,192.55,,Knox Ridley
2021-12-07,SELL,IWO,297.5,,Knox Ridley
2021-12-06,SELL,IWO,285.8,,Knox Ridley
2021-12-06,SELL,RIOT,27.51,,Knox Ridley
2021-12-05,SELL,LINKUSD,19.26,,Knox Ridley
2021-12-05,SELL,BTCUSD,49102.0,,Knox Ridley
2021-12-05,SELL,ETHUSD,4156.0,,Knox Ridley
2021-12-04,SELL,ETHUSD,4105.0,,Knox Ridley
2021-12-04,SELL,LINKUSD,19.98,,Knox Ridley
2021-12-04,SELL,BTCUSD,48283.0,,Knox Ridley
2021-12-03,SELL,XPEV,45.71,,Knox Ridley
2021-12-03,SELL,NVDA,315.9,,Knox Ridley
2021-12-03,SELL,DOCU,146.93,,Knox Ridley
2021-12-02,BUY,AFRM,166.06,,Knox Ridley
2021-12-02,SELL,PLTR,19.54,,Knox Ridley
2021-12-02,BUY,CFLT,75.3,,Knox Ridley
2021-12-02,SELL,ESTC,120.23,,Knox Ridley
2021-12-02,BUY,U,149.32,,Knox Ridley
2021-12-02,SELL,ATOM,22.04,,Knox Ridley
2021-11-30,SELL,AEHR,17.74,,Knox Ridley
2021-11-24,BUY,LINKUSD,25.4,,Knox Ridley
2021-11-23,BUY,ETHUSD,4356.0,,Knox Ridley
2021-11-23,BUY,DDOG,177.9,,Knox Ridley
2021-11-23,BUY,TWLO,274.56,,Knox Ridley
2021-11-23,BUY,ZM,205.8,,Knox Ridley
